Epoch 36 Val Loss: 0.1028 | MSE: 0.4387 | MAE: 0.4768
Epoch 37 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0009
Epoch 37 Val Loss: 0.1021 | MSE: 0.4375 | MAE: 0.4706
Epoch 38 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0005
Epoch 38 Val Loss: 0.0812 | MSE: 0.4425 | MAE: 0.4716
Epoch 39 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0006
Epoch 39 Val Loss: 0.0611 | MSE: 0.447 | MAE: 0.4744
Epoch 40 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0011
Epoch 40 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0011
Epoch 40 Val Loss: 0.0621 | MSE: 0.4478 | MAE: 0.4753
Epoch 41 Train Loss: 0.0 | MSE: 0.0001 | MAE: 0.0014
Epoch 41 Val Loss: 0.1047 | MSE: 0.447 | MAE: 0.4739
Epoch 42 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0008
Epoch 42 Val Loss: 0.1065 | MSE: 0.4455 | MAE: 0.471
Epoch 43 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0005
Epoch 43 Val Loss: 0.1289 | MSE: 0.4443 | MAE: 0.4681
Epoch 44 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0005
Epoch 44 Val Loss: 0.1304 | MSE: 0.4438 | MAE: 0.4667
Epoch 45 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0006
Epoch 45 Val Loss: 0.152 | MSE: 0.4439 | MAE: 0.4665
Epoch 46 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0005
Epoch 46 Val Loss: 0.1528 | MSE: 0.4442 | MAE: 0.4666
Epoch 47 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0003
Epoch 47 Val Loss: 0.1533 | MSE: 0.4443 | MAE: 0.4667
Epoch 48 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0002
Epoch 48 Val Loss: 0.1539 | MSE: 0.4442 | MAE: 0.467
Epoch 49 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0001
Epoch 49 Val Loss: 0.1546 | MSE: 0.444 | MAE: 0.4677
Epoch 50 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0001
Epoch 50 Val Loss: 0.1755 | MSE: 0.444 | MAE: 0.4686
Epoch 51 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0001
Epoch 51 Val Loss: 0.176 | MSE: 0.4442 | MAE: 0.4696
Epoch 52 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0001
Epoch 52 Val Loss: 0.1764 | MSE: 0.4447 | MAE: 0.4705
Epoch 53 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0001
Epoch 53 Val Loss: 0.1769 | MSE: 0.4455 | MAE: 0.4714
Epoch 54 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0001
Epoch 54 Val Loss: 0.1774 | MSE: 0.4464 | MAE: 0.4721
Epoch 55 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 55 Val Loss: 0.1778 | MSE: 0.4473 | MAE: 0.4727
Epoch 56 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 56 Val Loss: 0.1782 | MSE: 0.4483 | MAE: 0.4732
Epoch 57 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 57 Val Loss: 0.2197 | MSE: 0.4493 | MAE: 0.4738
Epoch 58 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 58 Val Loss: 0.22 | MSE: 0.4503 | MAE: 0.4743
Epoch 59 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 59 Val Loss: 0.2204 | MSE: 0.4513 | MAE: 0.4749
Epoch 60 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 60 Val Loss: 0.2207 | MSE: 0.4523 | MAE: 0.4756
Epoch 61 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 61 Val Loss: 0.221 | MSE: 0.4533 | MAE: 0.4762
Epoch 62 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 62 Val Loss: 0.2213 | MSE: 0.4543 | MAE: 0.4769
Epoch 63 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 63 Val Loss: 0.2215 | MSE: 0.4552 | MAE: 0.4775
Epoch 64 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 64 Val Loss: 0.2219 | MSE: 0.4561 | MAE: 0.4782
Epoch 65 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 65 Val Loss: 0.2221 | MSE: 0.4569 | MAE: 0.4789
Epoch 66 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 66 Val Loss: 0.2223 | MSE: 0.4577 | MAE: 0.4795
Epoch 67 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 67 Val Loss: 0.2225 | MSE: 0.4584 | MAE: 0.4801
Epoch 68 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 68 Val Loss: 0.2227 | MSE: 0.4591 | MAE: 0.4807
Epoch 69 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 69 Val Loss: 0.2228 | MSE: 0.4597 | MAE: 0.4812
Epoch 70 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 70 Val Loss: 0.223 | MSE: 0.4602 | MAE: 0.4817
Epoch 71 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 71 Val Loss: 0.2231 | MSE: 0.4607 | MAE: 0.4822
Epoch 72 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 72 Val Loss: 0.2232 | MSE: 0.4612 | MAE: 0.4826
Epoch 73 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 73 Val Loss: 0.2233 | MSE: 0.4616 | MAE: 0.483
Epoch 74 Train Loss: 0.0 | MSE: 0.0 | MAE: 0.0
Epoch 74 Val Loss: 0.2234 | MSE: 0.462 | MAE: 0.4834
